iter	Logloss
0	0.6898301807
1	0.6865831783
2	0.6833471442
3	0.6801497958
4	0.6769315116
5	0.6738055569
6	0.6706569237
7	0.6675952818
8	0.664459527
9	0.6613525266
10	0.6582748237
11	0.6552480302
12	0.6523516314
13	0.6495292893
14	0.6466525979
15	0.6438117727
16	0.6409533981
17	0.6381733113
18	0.6355576413
19	0.6331005141
20	0.6305497259
21	0.6277892958
22	0.6251952006
23	0.6224973456
24	0.6200631474
25	0.6174570469
26	0.6148703582
27	0.612289338
28	0.6099624507
29	0.6077635846
30	0.6054665642
31	0.6030778621
32	0.6007735613
33	0.5985426781
34	0.596290086
35	0.5941248167
36	0.5920050384
37	0.5898103767
38	0.5875033282
39	0.5853960205
40	0.5831184386
41	0.5810695464
42	0.5790243363
43	0.5770515331
44	0.5748942948
45	0.5729752166
46	0.5710574287
47	0.5691117716
48	0.567279248
49	0.5654788513
50	0.5636322613
51	0.5617182758
52	0.5598823633
53	0.5580581672
54	0.5561665672
55	0.5542886812
56	0.5525573085
57	0.5507128775
58	0.5487798789
59	0.5469808456
60	0.5452741917
61	0.5436233909
62	0.5417741393
63	0.5400206815
64	0.5384283359
65	0.5366416571
66	0.5350329276
67	0.5332950022
68	0.5315549078
69	0.5300403415
70	0.5285338964
71	0.5269706088
72	0.5254937234
73	0.5239120452
74	0.5222896366
75	0.5206759294
76	0.5193103672
77	0.5177313407
78	0.5163033294
79	0.5148465655
80	0.5133488402
81	0.5118861698
82	0.5106003405
83	0.5091613445
84	0.5077989426
85	0.5064858018
86	0.5052254008
87	0.5037514641
88	0.5022976321
89	0.5008683233
90	0.4995636611
91	0.4983305466
92	0.4969136065
93	0.4956403043
94	0.4943712309
95	0.4929906157
96	0.4917190468
97	0.490360169
98	0.4890777705
99	0.4878301308
100	0.4866100426
101	0.4854543776
102	0.4842466668
103	0.4829823211
104	0.4817403271
105	0.4806951373
106	0.4794473706
107	0.4783526688
108	0.4772867534
109	0.4761734097
110	0.4750847737
111	0.4740396796
112	0.4729685662
113	0.4718120331
114	0.4706893653
115	0.4696292845
116	0.46870862
117	0.4677046574
118	0.4666817626
119	0.4656459351
120	0.4646399949
121	0.4636949518
122	0.4628080532
123	0.4619305388
124	0.4609637853
125	0.4599736545
126	0.4590291671
127	0.4580924827
128	0.457165391
129	0.4562466315
130	0.4553074993
131	0.4543604882
132	0.4534506037
133	0.4526119803
134	0.4517096275
135	0.45084175
136	0.4499588322
137	0.4491261658
138	0.4482993112
139	0.4475559189
140	0.4467361725
141	0.4459356511
142	0.4451663751
143	0.4443867355
144	0.4435778107
145	0.4427771506
146	0.4420159022
147	0.4412371853
148	0.4404002751
149	0.4396205583
150	0.4389004448
151	0.4382149982
152	0.4374976582
153	0.4367715808
154	0.4359911053
155	0.4351545131
156	0.4345024897
157	0.433778982
158	0.4330770332
159	0.4323927464
160	0.4316488355
161	0.430997672
162	0.4303303696
163	0.4296356277
164	0.4289578475
165	0.4283292327
166	0.4276228453
167	0.4269101995
168	0.4261746362
169	0.4254915593
170	0.4249174566
171	0.4241929287
172	0.4235867356
173	0.423008402
174	0.4224019364
175	0.4217976268
176	0.4211920925
177	0.4205126005
178	0.4199119753
179	0.4193258774
180	0.4187588273
181	0.4182033409
182	0.4176753672
183	0.4171410487
184	0.4165516867
185	0.415951794
186	0.4153588818
187	0.4146983157
188	0.4141459546
189	0.4135903645
190	0.4130644864
191	0.4125522771
192	0.412062157
193	0.4114946734
194	0.4109293527
195	0.410456853
196	0.4099034063
197	0.4093326181
198	0.4088140271
199	0.408230914
200	0.4076322144
201	0.407044045
202	0.4065437643
203	0.40606885
204	0.4054765225
205	0.404875092
206	0.4042827173
207	0.4037830287
208	0.4033284798
209	0.4028401344
210	0.4023267479
211	0.4017723728
212	0.401296116
213	0.4008427598
214	0.4004052178
215	0.3998675261
216	0.3993421376
217	0.3989374744
218	0.3984938894
219	0.3980065157
220	0.3975798714
221	0.3970435663
222	0.3966308931
223	0.3961106453
224	0.3956388787
225	0.3951496942
226	0.3947599197
227	0.394269324
228	0.3938751585
229	0.3934051939
230	0.3929041179
231	0.3925215153
232	0.3921437404
233	0.3917588918
234	0.3913001336
235	0.390927057
236	0.3905533901
237	0.3901004837
238	0.3897568124
239	0.3893173445
240	0.3888795447
241	0.3884389287
242	0.3880003334
243	0.3875913933
244	0.3872348238
245	0.3868099501
246	0.3864464629
247	0.3860262498
248	0.3856197941
249	0.385229931
250	0.3848456082
251	0.3845179769
252	0.3841391439
253	0.3837396909
254	0.3834050695
255	0.3829710331
256	0.382644633
257	0.3823306338
