iter	Passed	Remaining
0	5	2853
1	13	3484
2	19	3375
3	25	3293
4	30	3148
5	35	3041
6	40	2989
7	45	2941
8	51	2915
9	56	2897
10	61	2859
11	67	2885
12	74	2928
13	80	2903
14	85	2892
15	91	2888
16	96	2868
17	103	2903
18	109	2904
19	116	2913
20	121	2902
21	126	2875
22	131	2849
23	136	2833
24	142	2829
25	148	2825
26	153	2805
27	158	2796
28	164	2796
29	171	2806
30	176	2789
31	182	2795
32	188	2794
33	194	2793
34	199	2775
35	206	2785
36	212	2786
37	217	2771
38	223	2769
39	229	2759
40	233	2740
41	239	2734
42	245	2730
43	250	2725
44	256	2721
45	262	2718
46	268	2717
47	274	2706
48	279	2700
49	285	2697
50	290	2686
51	296	2683
52	302	2681
53	310	2690
54	315	2682
55	324	2702
56	330	2699
57	337	2696
58	343	2692
59	349	2693
60	355	2684
61	361	2683
62	367	2680
63	373	2673
64	379	2667
65	385	2660
66	390	2651
67	396	2646
68	402	2643
69	410	2651
70	416	2643
71	421	2632
72	426	2622
73	431	2610
74	436	2603
75	442	2599
76	448	2590
77	453	2582
78	459	2577
79	464	2568
80	470	2558
81	476	2557
82	482	2554
83	488	2548
84	494	2542
85	500	2538
86	507	2538
87	515	2541
88	520	2531
89	525	2521
90	531	2515
91	536	2506
92	542	2500
93	547	2493
94	552	2482
95	557	2475
96	563	2469
97	568	2460
98	574	2456
99	580	2450
100	586	2443
101	591	2436
102	597	2432
103	603	2427
104	610	2423
105	615	2415
106	620	2407
107	626	2399
108	631	2393
109	638	2389
110	643	2381
111	648	2374
112	654	2368
113	660	2363
114	665	2355
115	670	2348
116	678	2347
117	683	2340
118	689	2334
119	695	2329
120	701	2324
121	708	2322
122	715	2319
123	721	2314
124	725	2305
125	731	2299
126	737	2293
127	742	2285
128	748	2279
129	754	2275
130	759	2267
131	764	2259
132	770	2252
133	775	2246
134	782	2242
135	787	2235
136	793	2230
137	799	2225
138	805	2219
139	811	2215
140	817	2209
141	823	2202
142	829	2197
143	835	2193
144	840	2184
145	846	2180
146	853	2176
147	859	2172
148	865	2166
149	871	2160
150	877	2156
151	883	2149
152	888	2141
153	894	2136
154	900	2131
155	906	2126
156	912	2121
157	918	2116
158	923	2108
159	929	2103
160	937	2102
161	950	2111
162	958	2110
163	963	2103
164	969	2097
165	975	2091
166	982	2089
167	988	2082
168	994	2077
169	1001	2073
170	1007	2069
171	1015	2065
172	1024	2066
173	1029	2059
174	1035	2053
175	1041	2046
176	1046	2040
177	1051	2032
178	1059	2029
179	1066	2025
180	1074	2025
181	1082	2021
182	1087	2014
183	1092	2007
184	1100	2004
185	1108	2001
186	1113	1994
187	1119	1989
188	1125	1983
189	1131	1977
190	1137	1971
191	1142	1963
192	1148	1957
193	1153	1950
194	1158	1943
195	1164	1936
196	1170	1930
197	1175	1923
198	1184	1922
199	1191	1919
200	1198	1914
201	1204	1908
202	1210	1902
203	1215	1894
204	1223	1892
205	1229	1886
206	1234	1879
207	1244	1878
208	1249	1871
209	1254	1864
210	1259	1857
211	1265	1850
212	1271	1844
213	1277	1838
214	1283	1832
215	1289	1826
216	1295	1821
217	1301	1814
218	1306	1807
219	1311	1800
220	1317	1794
221	1323	1788
222	1329	1782
223	1335	1776
224	1339	1768
225	1346	1763
226	1353	1758
227	1358	1752
228	1364	1745
229	1370	1740
230	1376	1734
231	1384	1730
232	1391	1725
233	1396	1719
234	1402	1713
235	1407	1706
236	1413	1699
237	1419	1693
238	1425	1688
239	1430	1681
240	1436	1675
241	1442	1668
242	1447	1662
243	1452	1655
244	1458	1648
245	1463	1641
246	1468	1635
247	1474	1628
248	1479	1621
249	1485	1616
250	1491	1610
251	1497	1604
252	1502	1597
253	1508	1591
254	1513	1584
255	1520	1579
256	1526	1574
257	1534	1570
258	1540	1564
259	1546	1558
260	1551	1551
261	1556	1545
262	1562	1539
263	1567	1532
264	1572	1525
265	1578	1519
266	1584	1512
267	1590	1507
268	1596	1501
269	1602	1495
270	1607	1488
271	1612	1482
272	1617	1475
273	1624	1470
274	1630	1464
275	1635	1458
276	1641	1451
277	1646	1445
278	1652	1438
279	1657	1432
280	1663	1426
281	1669	1420
282	1674	1414
283	1681	1409
284	1689	1404
285	1695	1398
286	1700	1392
287	1706	1386
288	1711	1379
289	1717	1374
290	1722	1367
291	1729	1362
292	1735	1356
293	1740	1349
294	1745	1343
295	1750	1336
296	1756	1330
297	1762	1325
298	1768	1318
299	1773	1312
300	1779	1306
301	1786	1301
302	1792	1295
303	1798	1289
304	1803	1283
305	1809	1277
306	1814	1270
307	1820	1265
308	1827	1259
309	1833	1253
310	1839	1247
311	1845	1242
312	1850	1235
313	1858	1230
314	1863	1224
315	1869	1218
316	1875	1212
317	1881	1206
318	1887	1201
319	1893	1195
320	1899	1189
321	1904	1182
322	1909	1176
323	1916	1170
324	1921	1164
325	1927	1158
326	1933	1153
327	1939	1146
328	1944	1140
329	1950	1134
330	1956	1129
331	1962	1122
332	1967	1116
333	1974	1111
334	1980	1105
335	1986	1099
336	1993	1094
337	1998	1088
338	2010	1085
339	2016	1079
340	2022	1073
341	2027	1067
342	2034	1061
343	2040	1055
344	2046	1049
345	2051	1043
346	2058	1037
347	2063	1031
348	2071	1026
349	2076	1020
350	2081	1014
351	2087	1008
352	2094	1002
353	2099	996
354	2109	992
355	2115	986
356	2121	980
357	2126	974
358	2132	968
359	2139	962
360	2144	956
361	2149	950
362	2155	944
363	2161	938
364	2167	932
365	2173	926
366	2179	920
367	2185	914
368	2190	908
369	2196	902
370	2201	896
371	2207	890
372	2213	884
373	2218	878
374	2224	871
375	2230	865
376	2235	859
377	2243	854
