iter	Passed	Remaining
0	6	3454
1	11	3095
2	18	3145
3	23	3021
4	28	2937
5	33	2917
6	39	2903
7	44	2830
8	53	3039
9	58	3017
10	65	3022
11	69	2957
12	75	2939
13	83	3015
14	95	3215
15	108	3444
16	114	3405
17	120	3369
18	125	3325
19	130	3282
20	135	3234
21	141	3205
22	150	3265
23	159	3301
24	165	3294
25	173	3308
26	179	3284
27	184	3248
28	190	3235
29	196	3216
30	201	3187
31	207	3180
32	213	3166
33	220	3159
34	225	3135
35	230	3113
36	236	3100
37	242	3091
38	248	3082
39	256	3090
40	261	3073
41	267	3054
42	273	3047
43	278	3030
44	284	3011
45	289	2996
46	295	2982
47	300	2964
48	306	2958
49	312	2951
50	318	2942
51	323	2921
52	331	2929
53	336	2920
54	342	2904
55	347	2892
56	353	2887
57	361	2892
58	367	2885
59	372	2868
60	377	2856
61	383	2848
62	389	2834
63	395	2827
64	404	2846
65	410	2839
66	416	2831
67	422	2817
68	428	2810
69	433	2798
70	438	2786
71	444	2780
72	452	2781
73	458	2777
74	463	2764
75	469	2753
76	474	2744
77	480	2733
78	486	2728
79	492	2719
80	498	2711
81	504	2705
82	510	2698
83	515	2690
84	520	2677
85	525	2665
86	532	2661
87	537	2651
88	543	2645
89	550	2642
90	557	2641
91	564	2638
92	569	2628
93	575	2620
94	581	2611
95	587	2608
96	593	2599
97	599	2594
98	606	2591
99	611	2581
100	617	2575
101	622	2564
102	628	2554
103	634	2549
104	640	2543
105	645	2533
106	650	2524
107	659	2528
108	668	2534
109	679	2546
110	684	2535
111	690	2527
112	696	2520
113	701	2511
114	708	2505
115	714	2499
116	719	2489
117	724	2479
118	729	2470
119	734	2459
120	740	2453
121	745	2445
122	750	2435
123	758	2433
124	764	2427
125	770	2420
126	774	2409
127	781	2404
128	786	2395
129	791	2386
130	798	2383
131	805	2379
132	811	2373
133	816	2365
134	822	2359
135	830	2357
136	836	2350
137	841	2341
138	847	2334
139	852	2327
140	860	2323
141	866	2319
142	872	2312
143	878	2306
144	884	2298
145	889	2289
146	894	2282
147	900	2275
148	905	2267
149	911	2261
150	917	2253
151	923	2246
152	928	2239
153	935	2234
154	940	2227
155	946	2221
156	952	2214
157	959	2209
158	965	2204
159	971	2198
160	977	2191
161	982	2184
162	988	2176
163	994	2170
164	1000	2164
165	1006	2158
166	1012	2152
167	1017	2144
168	1022	2136
169	1028	2130
170	1034	2124
171	1040	2116
172	1047	2113
173	1053	2106
174	1058	2098
175	1065	2095
176	1071	2088
177	1077	2082
178	1084	2077
179	1090	2071
180	1095	2063
181	1101	2058
182	1107	2052
183	1113	2045
184	1118	2037
185	1123	2030
186	1129	2023
187	1135	2016
188	1140	2010
189	1146	2002
190	1151	1995
191	1162	1998
192	1169	1992
193	1174	1986
194	1180	1979
195	1186	1973
196	1192	1967
197	1198	1960
198	1204	1955
199	1209	1947
200	1214	1940
201	1220	1933
202	1226	1927
203	1231	1919
204	1236	1912
205	1242	1906
206	1247	1899
207	1253	1891
208	1259	1885
209	1265	1880
210	1271	1874
211	1276	1867
212	1282	1860
213	1288	1854
214	1294	1848
215	1300	1841
216	1305	1834
217	1310	1827
218	1315	1820
219	1322	1815
220	1328	1808
221	1334	1802
222	1339	1796
223	1345	1789
224	1350	1782
225	1355	1775
226	1362	1770
227	1368	1765
228	1374	1758
229	1379	1751
230	1385	1745
231	1391	1738
232	1397	1733
233	1402	1726
234	1407	1719
235	1412	1712
236	1418	1705
237	1425	1701
238	1431	1695
239	1436	1688
240	1442	1682
241	1448	1676
242	1454	1669
243	1460	1664
244	1466	1658
245	1473	1653
246	1479	1647
247	1484	1640
248	1491	1635
249	1497	1629
250	1502	1622
251	1507	1615
252	1512	1608
253	1521	1605
254	1526	1598
255	1532	1591
256	1538	1586
257	1543	1579
258	1549	1573
259	1555	1567
260	1561	1561
261	1567	1555
