iter	Logloss
0	0.6899632943
1	0.68681655
2	0.6835946936
3	0.6803691437
4	0.6773322724
5	0.6742257761
6	0.6712275622
7	0.6682747382
8	0.665327157
9	0.6624385154
10	0.6594025141
11	0.6565903676
12	0.6537367195
13	0.6509648619
14	0.6482592789
15	0.645525677
16	0.6429298417
17	0.6403829262
18	0.6378226797
19	0.6351837599
20	0.6327132896
21	0.6301451254
22	0.627557483
23	0.6249631274
24	0.6225815458
25	0.6201472956
26	0.61754076
27	0.6150917974
28	0.6126052232
29	0.6101751531
30	0.6078610279
31	0.6055864562
32	0.6033183672
33	0.6010266108
34	0.5987471258
35	0.5965182708
36	0.5943180097
37	0.5922283554
38	0.5901205071
39	0.588021341
40	0.5858763902
41	0.5838180766
42	0.5818480196
43	0.5797341647
44	0.5778049947
45	0.5757940915
46	0.5738520182
47	0.5718844549
48	0.5698513779
49	0.5680139783
50	0.566102085
51	0.5641433845
52	0.5621198624
53	0.5601776062
54	0.5582988617
55	0.5564855171
56	0.5547233878
57	0.5529478828
58	0.5511956224
59	0.5492897345
60	0.5474713089
61	0.5457119811
62	0.5438197703
63	0.5419833657
64	0.5402778048
65	0.5384954208
66	0.5367463582
67	0.5349972051
68	0.5333764598
69	0.5317960939
70	0.5303136371
71	0.5287959116
72	0.5270968537
73	0.5255557932
74	0.5240495194
75	0.5226256565
76	0.5210072576
77	0.519560581
78	0.5181805817
79	0.5168235807
80	0.5153316254
81	0.5139309853
82	0.5125540467
83	0.5112760034
84	0.5097979816
85	0.5083877858
86	0.506959945
87	0.505501865
88	0.5041475528
89	0.5029442383
90	0.5015992977
91	0.5001986109
92	0.4989142541
93	0.4976842616
94	0.4963653644
95	0.4951557784
96	0.4939648766
97	0.4927781673
98	0.4916253222
99	0.4904047829
100	0.4891922623
101	0.4880002962
102	0.4867104553
103	0.4855412202
104	0.4844200454
105	0.4832302805
106	0.4821111743
107	0.4809022925
108	0.4798154576
109	0.4786492464
110	0.477515299
111	0.4764773416
112	0.4754006869
113	0.4742692418
114	0.473056968
115	0.4720428158
116	0.4708951263
117	0.4698524588
118	0.4688709998
119	0.4677881955
120	0.4667699436
121	0.4658187375
122	0.4647961502
123	0.4638185077
124	0.4629231804
125	0.4620053106
126	0.4609477455
127	0.4600106457
128	0.4590325996
129	0.4581250065
130	0.4572445563
131	0.4562800421
132	0.4554175041
133	0.4545559068
134	0.4536873439
135	0.45287067
136	0.4520110059
137	0.4511206867
138	0.4502766715
139	0.4493039179
140	0.4484716914
141	0.4475224912
142	0.4465717945
143	0.4457369825
144	0.4449227108
145	0.4439970103
146	0.4431732634
147	0.4424100873
148	0.4416577917
149	0.4408497331
150	0.4400914731
151	0.4393674742
152	0.4385985603
153	0.4378029445
154	0.4370502376
155	0.4363041187
156	0.4354995074
157	0.4346762572
158	0.4339401703
159	0.4332082218
160	0.4325295627
161	0.4318123662
162	0.4310967937
163	0.4304015921
164	0.4296901865
165	0.42900499
166	0.4283198414
167	0.4276825974
168	0.4270152738
169	0.4263452444
170	0.4257012664
171	0.425067678
172	0.424369055
173	0.4236896183
174	0.4231219337
175	0.4224173442
176	0.4217845158
177	0.4211071553
178	0.4204916306
179	0.4199231145
180	0.4192886262
181	0.4186646515
182	0.41808458
183	0.4174748258
184	0.4169136678
185	0.4163100451
186	0.4157776215
187	0.4152392607
188	0.4146529606
189	0.4141239221
190	0.4135480513
191	0.4129125032
192	0.4123251634
193	0.411817398
194	0.4112710573
195	0.41077482
196	0.4102264323
197	0.4096553268
198	0.4090991464
199	0.4085924203
200	0.4080142248
201	0.407426599
202	0.4069284655
203	0.4063879825
204	0.405850343
205	0.4053013724
206	0.4047340032
207	0.40420697
208	0.403746969
209	0.4032788465
