iter	Passed	Remaining
0	5	3035
1	11	2944
2	17	2953
3	23	3104
4	29	3071
5	35	3018
6	41	3022
7	46	2988
8	52	3008
9	59	3021
10	64	2993
11	71	3045
12	77	3042
13	83	3046
14	89	3016
15	95	3027
16	101	3021
17	106	2981
18	111	2957
19	117	2944
20	124	2962
21	129	2933
22	135	2929
23	140	2908
24	145	2897
25	151	2883
26	158	2904
27	163	2885
28	169	2874
29	175	2885
30	182	2894
31	196	3007
32	206	3058
33	216	3113
34	228	3184
35	239	3234
36	249	3264
37	258	3297
38	264	3279
39	270	3262
40	276	3245
41	283	3235
42	288	3214
43	294	3196
44	300	3183
45	306	3169
46	311	3144
47	316	3129
48	323	3120
49	331	3131
50	337	3121
51	344	3115
52	356	3154
53	366	3173
54	371	3156
55	376	3136
56	383	3129
57	390	3123
58	396	3112
59	401	3091
60	406	3072
61	412	3056
62	417	3041
63	423	3033
64	430	3027
65	436	3016
66	442	3001
67	447	2984
68	452	2967
69	458	2960
70	465	2953
71	470	2940
72	476	2932
73	482	2918
74	488	2910
75	494	2901
76	499	2886
77	505	2876
78	510	2863
79	515	2847
80	521	2839
81	527	2831
82	535	2830
83	540	2819
84	546	2807
85	551	2794
86	556	2781
87	563	2779
88	568	2768
89	575	2762
90	580	2749
91	586	2741
92	592	2732
93	597	2720
94	603	2710
95	609	2702
96	614	2692
97	620	2683
98	625	2674
99	630	2662
100	638	2660
101	643	2650
102	649	2640
103	654	2631
104	660	2624
105	667	2620
106	673	2611
107	678	2602
108	684	2594
109	690	2585
110	695	2574
111	700	2566
112	705	2554
113	711	2546
114	717	2539
115	722	2529
116	728	2520
117	734	2515
118	741	2509
119	745	2498
120	751	2490
121	757	2483
122	762	2473
123	769	2470
124	776	2464
125	782	2457
126	787	2448
127	793	2441
128	799	2435
129	804	2425
130	809	2417
131	816	2411
132	822	2404
133	827	2395
134	834	2390
135	839	2382
136	845	2376
137	852	2371
138	858	2366
139	863	2356
140	869	2349
141	875	2343
142	881	2337
143	887	2330
144	893	2322
145	898	2313
146	904	2306
147	909	2298
148	916	2293
149	921	2286
150	927	2279
151	933	2272
152	940	2268
153	945	2260
154	951	2252
155	957	2245
156	963	2238
157	969	2233
158	975	2227
159	982	2222
160	987	2215
161	992	2206
162	997	2197
163	1003	2190
164	1009	2183
165	1014	2175
166	1020	2168
167	1025	2161
168	1031	2154
169	1036	2147
170	1041	2138
171	1048	2132
172	1055	2128
173	1060	2121
174	1066	2114
175	1073	2111
176	1079	2104
177	1085	2098
178	1091	2090
179	1096	2082
180	1101	2076
181	1107	2069
182	1113	2062
183	1119	2055
184	1124	2049
185	1129	2041
186	1135	2033
187	1140	2026
188	1147	2021
189	1153	2014
190	1158	2008
