iter	Logloss
0	0.6898340793
1	0.6867241324
2	0.6834767503
3	0.6804423752
4	0.6772264633
5	0.6739998805
6	0.6708710735
7	0.6678378936
8	0.664646783
9	0.6615714638
10	0.6587098514
11	0.6556229778
12	0.6529602132
13	0.6501011221
14	0.6473780209
15	0.644583469
16	0.6417323247
17	0.6391508576
18	0.6362666137
19	0.6335848255
20	0.6311441237
21	0.6286330709
22	0.6260497348
23	0.6233067006
24	0.6207385062
25	0.6182881968
26	0.6159207291
27	0.6136047918
28	0.6109897835
29	0.6086057623
30	0.6062015982
31	0.6039307864
32	0.601605414
33	0.599126521
34	0.5969188836
35	0.5947218372
36	0.5925409937
37	0.5904916271
38	0.5882834133
39	0.5860417511
40	0.5837241838
41	0.581542456
42	0.5795011579
43	0.577459484
44	0.5755449429
45	0.5733149369
46	0.5714280191
47	0.5694145119
48	0.5675989128
49	0.5654797272
50	0.5635728247
51	0.5616972585
52	0.5599638923
53	0.5580202843
54	0.5561393127
55	0.5542128544
56	0.5524779954
57	0.5507010897
58	0.5489106355
59	0.5469916919
60	0.5453300008
61	0.5436612991
62	0.5419547724
63	0.5402608254
64	0.5386102529
65	0.5368130947
66	0.5352050147
67	0.5336130682
68	0.5318536929
69	0.5303249677
70	0.5287732724
71	0.5272027333
72	0.5255696957
73	0.5241150913
74	0.5225166115
75	0.521100758
76	0.5195775755
77	0.5179437496
78	0.5163417848
79	0.5148322735
80	0.5133226714
81	0.5118927787
82	0.5102891598
83	0.5089066613
84	0.5076214375
85	0.5061232136
86	0.5048639458
87	0.50339217
88	0.502023138
89	0.5006975877
90	0.4992632909
91	0.4978104186
92	0.49648792
93	0.4951213927
94	0.4937942409
95	0.4925769172
96	0.4914426355
97	0.4901348031
98	0.4889256133
99	0.4876518516
100	0.4863877541
101	0.485236147
102	0.4839980549
103	0.4827541374
104	0.4815733401
105	0.4803811414
106	0.4792495577
107	0.4779543941
108	0.4768742704
109	0.4757252471
110	0.4746962037
111	0.4735382955
112	0.4723535739
113	0.4712841443
114	0.4701284266
115	0.4691558086
116	0.468193446
117	0.4671682117
118	0.4661870089
119	0.4652189846
120	0.4642390205
121	0.463351412
122	0.4623192001
123	0.46139465
124	0.460433393
125	0.4595077174
126	0.4585234769
127	0.4576550054
128	0.4566747513
129	0.4557781788
130	0.4547987736
131	0.4538966836
132	0.4530044831
133	0.4520617902
134	0.4512093512
135	0.4502841119
136	0.4494457938
137	0.4486160308
138	0.4478093853
139	0.4469078882
140	0.4460740948
141	0.4452674106
142	0.4444551943
143	0.443704641
144	0.4428669116
145	0.4421029747
146	0.4412383167
147	0.4404784914
148	0.4396861685
149	0.43893542
150	0.4382067346
151	0.4374438153
152	0.4366752368
153	0.4359428243
154	0.4351799644
155	0.4344817329
156	0.4337671375
157	0.4329825648
158	0.4322530367
159	0.431543819
160	0.4308565674
161	0.4301159502
162	0.4294088961
163	0.4287279207
164	0.428010939
165	0.4273111606
166	0.4265475513
167	0.4259331523
168	0.4251944833
169	0.4245467791
170	0.4239167666
171	0.4232818901
172	0.4226878693
173	0.4220494631
174	0.4214689044
175	0.420895108
176	0.4203267682
177	0.4196924917
178	0.4191326674
179	0.4185879306
180	0.4179822496
181	0.4173228145
182	0.4167197376
183	0.4161211189
184	0.4155078439
185	0.4149316152
186	0.4144051096
187	0.4138445039
188	0.4132844691
189	0.4126418028
190	0.4120503937
191	0.4115350004
192	0.411040443
193	0.4104812714
194	0.4099455128
195	0.4093953395
196	0.4087910458
197	0.4082673293
198	0.4077607391
199	0.4071839363
200	0.4066629774
201	0.4060983555
202	0.4055619993
203	0.4050987699
204	0.4046099774
205	0.4040290972
206	0.4034017566
207	0.4028447252
208	0.4023406119
209	0.4018455567
210	0.4013470791
211	0.4008831681
212	0.4004298864
213	0.3999471526
214	0.399432607
215	0.3989013544
216	0.3984507131
217	0.3979842624
218	0.3975833259
219	0.397033334
220	0.3965967356
221	0.3960973433
222	0.3956111734
223	0.3951429248
224	0.3947125921
225	0.3943149265
226	0.3938814578
227	0.3934914914
228	0.3930867211
229	0.3926730864
230	0.3922698684
231	0.391833938
232	0.3914315684
233	0.3910348489
234	0.3906764724
235	0.3902068535
236	0.3897631594
237	0.3893949534
238	0.3889131725
239	0.3885562627
240	0.3881798477
241	0.387827427
242	0.3873543779
243	0.3869151045
244	0.3864962049
245	0.3860898526
246	0.3856627149
247	0.3853232367
248	0.3848994454
249	0.384558432
250	0.3841755432
251	0.3837200748
252	0.3833320279
253	0.3830059747
254	0.3826710582
255	0.3823474701
256	0.3819931787
257	0.3816769898
258	0.3812311089
259	0.3809124403
260	0.3806039299
261	0.3802978905
262	0.379992803
263	0.3796192609
264	0.379252038
265	0.3788439555
266	0.3785426002
267	0.378218679
268	0.3779262523
269	0.3776327311
270	0.3773060646
271	0.3769433244
272	0.3766041901
273	0.3762511062
274	0.3758517243
275	0.3755115121
276	0.3751744507
277	0.3748979839
