iter	Passed	Remaining
0	4	2426
1	11	2995
2	16	2909
3	21	2815
4	28	2959
5	34	3002
6	41	3057
7	46	3001
8	52	2994
9	59	3029
10	65	3030
11	70	2994
12	77	3048
13	85	3089
14	90	3055
15	95	3006
16	100	2983
17	106	2994
18	112	2984
19	118	2968
20	124	2971
21	130	2973
22	135	2944
23	141	2934
24	146	2913
25	151	2881
26	158	2897
27	163	2889
28	168	2870
29	174	2861
30	183	2901
31	188	2889
32	193	2871
33	199	2862
34	205	2856
35	210	2840
36	215	2829
37	221	2824
38	227	2823
39	233	2819
40	239	2815
41	245	2803
42	250	2793
43	257	2792
44	263	2788
45	268	2782
46	275	2785
47	281	2779
48	286	2768
49	292	2758
50	297	2751
51	303	2743
52	308	2732
53	314	2722
54	320	2721
55	329	2739
56	335	2734
57	339	2719
58	345	2709
59	350	2697
60	355	2690
61	365	2709
62	370	2702
63	378	2707
64	384	2705
65	391	2702
66	396	2693
67	402	2688
68	409	2689
69	419	2710
70	430	2737
71	437	2732
72	442	2720
73	447	2711
74	453	2703
75	460	2701
76	465	2690
77	471	2684
78	478	2685
79	484	2678
80	490	2669
81	495	2661
82	501	2654
83	507	2648
84	513	2639
85	522	2648
86	531	2656
87	541	2671
88	546	2660
89	552	2653
90	559	2648
91	565	2645
92	570	2633
93	577	2628
94	583	2623
95	588	2611
96	594	2602
97	600	2597
98	606	2589
99	612	2583
100	619	2583
101	625	2577
102	632	2574
103	637	2564
104	644	2560
105	652	2562
106	660	2560
107	667	2559
108	674	2554
109	679	2544
110	685	2538
111	691	2530
112	697	2523
113	702	2512
114	707	2504
115	713	2497
116	719	2490
117	725	2484
118	731	2477
119	736	2467
120	741	2458
121	747	2451
122	753	2444
123	758	2434
124	763	2425
125	770	2420
126	775	2412
127	780	2403
128	787	2397
129	792	2388
130	798	2383
131	804	2377
132	810	2369
133	815	2361
134	823	2360
135	829	2354
136	835	2346
137	840	2339
138	846	2333
139	852	2326
140	857	2318
141	863	2311
142	869	2305
143	876	2301
144	883	2298
145	890	2292
146	896	2286
147	902	2281
148	909	2276
149	914	2267
150	922	2265
151	928	2260
152	934	2252
153	939	2244
154	945	2238
155	952	2233
156	957	2225
157	963	2220
158	969	2213
159	976	2208
160	981	2200
161	988	2196
162	994	2190
163	1000	2184
164	1006	2177
165	1011	2170
166	1018	2164
167	1024	2158
168	1029	2150
169	1035	2143
170	1040	2136
171	1045	2128
172	1051	2122
173	1057	2115
174	1063	2108
175	1068	2100
176	1073	2093
177	1080	2087
178	1088	2085
179	1093	2078
180	1099	2070
181	1105	2066
182	1110	2057
183	1119	2056
184	1125	2049
185	1130	2042
186	1135	2034
187	1144	2033
188	1150	2026
189	1155	2019
190	1161	2013
191	1167	2005
192	1172	1997
193	1177	1990
194	1188	1993
195	1194	1987
196	1199	1978
197	1205	1972
198	1211	1966
199	1216	1959
200	1222	1952
201	1227	1944
202	1232	1936
203	1238	1930
204	1244	1924
205	1249	1916
206	1256	1912
207	1262	1905
208	1267	1898
209	1272	1891
210	1278	1883
211	1286	1881
212	1291	1874
213	1297	1867
214	1304	1862
215	1310	1856
216	1316	1849
217	1321	1842
218	1326	1835
219	1331	1828
220	1337	1821
221	1343	1815
222	1349	1808
223	1354	1802
224	1360	1796
225	1365	1788
226	1371	1781
227	1377	1776
228	1384	1771
229	1390	1765
230	1395	1758
231	1402	1753
232	1408	1747
233	1416	1743
234	1421	1736
235	1427	1729
236	1432	1723
237	1438	1717
238	1444	1710
239	1449	1703
240	1456	1697
241	1461	1690
242	1467	1684
243	1473	1678
244	1480	1673
245	1486	1667
246	1493	1662
247	1498	1655
248	1504	1649
249	1510	1643
250	1516	1636
251	1521	1630
252	1526	1623
253	1532	1616
254	1538	1611
255	1543	1604
256	1549	1598
257	1556	1592
258	1561	1585
259	1567	1579
260	1572	1572
261	1578	1565
262	1584	1560
263	1590	1554
264	1597	1548
265	1603	1543
266	1608	1536
267	1614	1530
268	1619	1523
269	1625	1516
270	1631	1510
